,timestamp,sensor_id,sensor,measurement,sensor_type,value
67,2025-08-24T12:39:03.040,ESP32,DHT11,temperature-humidity,humidity,20
68,2025-08-24T12:39:05.501,ESP32,DHT11,temperature-humidity,temperature,21
69,2025-08-24T12:39:05.501,ESP32,DHT11,temperature-humidity,humidity,20
70,2025-08-24T12:39:08.068,ESP32,DHT11,temperature-humidity,temperature,21
71,2025-08-24T12:39:08.068,ESP32,DHT11,temperature-humidity,humidity,20
72,2025-08-24T12:39:10.738,ESP32,DHT11,temperature-humidity,temperature,21
73,2025-08-24T12:39:10.738,ESP32,DHT11,temperature-humidity,humidity,20
74,2025-08-24T12:39:16.539,ESP32,DHT11,temperature-humidity,humidity,20
75,2025-08-24T12:39:16.539,ESP32,DHT11,temperature-humidity,temperature,21
76,2025-08-24T12:39:19.391,ESP32,DHT11,temperature-humidity,humidity,20
77,2025-08-24T12:39:19.391,ESP32,DHT11,temperature-humidity,temperature,21
78,2025-08-24T12:39:21.844,ESP32,DHT11,temperature-humidity,temperature,21
79,2025-08-24T12:39:21.844,ESP32,DHT11,temperature-humidity,humidity,20
80,2025-08-24T12:39:24.321,ESP32,DHT11,temperature-humidity,humidity,31
81,2025-08-24T12:39:24.321,ESP32,DHT11,temperature-humidity,temperature,21
82,2025-08-24T12:39:26.785,ESP32,DHT11,temperature-humidity,temperature,21
83,2025-08-24T12:39:26.785,ESP32,DHT11,temperature-humidity,humidity,20
84,2025-08-24T12:39:29.852,ESP32,DHT11,temperature-humidity,temperature,22
85,2025-08-24T12:39:29.852,ESP32,DHT11,temperature-humidity,humidity,31
86,2025-08-24T12:39:32.666,ESP32,DHT11,temperature-humidity,humidity,20
87,2025-08-24T12:39:32.666,ESP32,DHT11,temperature-humidity,temperature,21
88,2025-08-24T12:39:35.136,ESP32,DHT11,temperature-humidity,temperature,21
89,2025-08-24T12:39:35.136,ESP32,DHT11,temperature-humidity,humidity,20
90,2025-08-24T12:39:42.727,ESP32,DHT11,temperature-humidity,temperature,21
91,2025-08-24T12:39:42.727,ESP32,DHT11,temperature-humidity,humidity,20
92,2025-08-24T12:40:11.719,ESP32,DHT11,temperature-humidity,humidity,20
93,2025-08-24T12:40:11.719,ESP32,DHT11,temperature-humidity,temperature,21
94,2025-08-24T12:40:18.723,ESP32,DHT11,temperature-humidity,temperature,21
95,2025-08-24T12:40:18.723,ESP32,DHT11,temperature-humidity,humidity,20
96,2025-08-24T12:40:21.874,ESP32,DHT11,temperature-humidity,temperature,21
97,2025-08-24T12:40:21.874,ESP32,DHT11,temperature-humidity,humidity,20
98,2025-08-24T12:40:28.368,ESP32,DHT11,temperature-humidity,humidity,20
99,2025-08-24T12:40:28.368,ESP32,DHT11,temperature-humidity,temperature,21
100,2025-08-24T12:40:31.500,ESP32,DHT11,temperature-humidity,temperature,22
101,2025-08-24T12:40:31.500,ESP32,DHT11,temperature-humidity,humidity,20
102,2025-08-24T12:40:36.927,ESP32,DHT11,temperature-humidity,humidity,20
103,2025-08-24T12:40:36.927,ESP32,DHT11,temperature-humidity,temperature,21
104,2025-08-24T12:40:40.451,ESP32,DHT11,temperature-humidity,temperature,21
105,2025-08-24T12:40:40.451,ESP32,DHT11,temperature-humidity,humidity,20
106,2025-08-24T12:40:43.102,ESP32,DHT11,temperature-humidity,humidity,20
107,2025-08-24T12:40:43.102,ESP32,DHT11,temperature-humidity,temperature,21
108,2025-08-24T12:40:55.489,ESP32,DHT11,temperature-humidity,humidity,20
109,2025-08-24T12:40:55.489,ESP32,DHT11,temperature-humidity,temperature,21
110,2025-08-24T12:40:58.537,ESP32,DHT11,temperature-humidity,humidity,20
111,2025-08-24T12:40:58.537,ESP32,DHT11,temperature-humidity,temperature,21
112,2025-08-24T12:41:01.516,ESP32,DHT11,temperature-humidity,temperature,21
113,2025-08-24T12:41:01.516,ESP32,DHT11,temperature-humidity,humidity,20
114,2025-08-24T12:41:04.472,ESP32,DHT11,temperature-humidity,temperature,22
115,2025-08-24T12:41:04.472,ESP32,DHT11,temperature-humidity,humidity,20
116,2025-08-24T12:41:07.031,ESP32,DHT11,temperature-humidity,humidity,20
117,2025-08-24T12:41:07.031,ESP32,DHT11,temperature-humidity,temperature,21
118,2025-08-24T12:41:27.212,ESP32,DHT11,temperature-humidity,temperature,21
119,2025-08-24T12:41:27.212,ESP32,DHT11,temperature-humidity,humidity,21
120,2025-08-24T12:41:30.281,ESP32,DHT11,temperature-humidity,humidity,20
121,2025-08-24T12:41:30.281,ESP32,DHT11,temperature-humidity,temperature,21
122,2025-08-24T12:41:32.847,ESP32,DHT11,temperature-humidity,temperature,21
123,2025-08-24T12:41:32.847,ESP32,DHT11,temperature-humidity,humidity,20
124,2025-08-24T12:41:36.011,ESP32,DHT11,temperature-humidity,humidity,31
125,2025-08-24T12:41:36.011,ESP32,DHT11,temperature-humidity,temperature,22
126,2025-08-24T12:41:39.085,ESP32,DHT11,temperature-humidity,humidity,20
127,2025-08-24T12:41:39.085,ESP32,DHT11,temperature-humidity,temperature,21
128,2025-08-24T12:41:41.691,ESP32,DHT11,temperature-humidity,humidity,20
129,2025-08-24T12:41:41.691,ESP32,DHT11,temperature-humidity,temperature,22
130,2025-08-24T12:41:44.619,ESP32,DHT11,temperature-humidity,temperature,21
131,2025-08-24T12:41:44.619,ESP32,DHT11,temperature-humidity,humidity,36
132,2025-08-24T12:41:50.088,ESP32,DHT11,temperature-humidity,humidity,20
133,2025-08-24T12:41:50.088,ESP32,DHT11,temperature-humidity,temperature,21
134,2025-08-24T12:41:52.955,ESP32,DHT11,temperature-humidity,temperature,22
135,2025-08-24T12:41:52.955,ESP32,DHT11,temperature-humidity,humidity,20
136,2025-08-24T12:41:57.517,ESP32,DHT11,temperature-humidity,humidity,20
137,2025-08-24T12:41:57.517,ESP32,DHT11,temperature-humidity,temperature,22
138,2025-08-24T12:42:02.924,ESP32,DHT11,temperature-humidity,temperature,21
139,2025-08-24T12:42:02.924,ESP32,DHT11,temperature-humidity,humidity,20
140,2025-08-24T12:42:06.439,ESP32,DHT11,temperature-humidity,humidity,20
141,2025-08-24T12:42:06.439,ESP32,DHT11,temperature-humidity,temperature,21
142,2025-08-24T12:42:17.745,ESP32,DHT11,temperature-humidity,temperature,21
143,2025-08-24T12:42:17.745,ESP32,DHT11,temperature-humidity,humidity,20
144,2025-08-24T12:42:47.624,ESP32,DHT11,temperature-humidity,humidity,20
145,2025-08-24T12:42:47.624,ESP32,DHT11,temperature-humidity,temperature,21
146,2025-08-24T12:42:51.584,ESP32,DHT11,temperature-humidity,humidity,20
147,2025-08-24T12:42:51.584,ESP32,DHT11,temperature-humidity,temperature,22
148,2025-08-24T12:42:54.658,ESP32,DHT11,temperature-humidity,humidity,34
149,2025-08-24T12:42:54.658,ESP32,DHT11,temperature-humidity,temperature,21
150,2025-08-24T12:42:58.959,ESP32,DHT11,temperature-humidity,temperature,21
151,2025-08-24T12:42:58.959,ESP32,DHT11,temperature-humidity,humidity,20
152,2025-08-24T12:43:02.031,ESP32,DHT11,temperature-humidity,humidity,20
153,2025-08-24T12:43:02.031,ESP32,DHT11,temperature-humidity,temperature,21
154,2025-08-24T12:43:05.101,ESP32,DHT11,temperature-humidity,temperature,21
155,2025-08-24T12:43:05.101,ESP32,DHT11,temperature-humidity,humidity,20
156,2025-08-24T12:43:08.176,ESP32,DHT11,temperature-humidity,humidity,20
157,2025-08-24T12:43:08.176,ESP32,DHT11,temperature-humidity,temperature,21
158,2025-08-24T12:45:15.002,ESP32,DHT11,temperature-humidity,temperature,21
159,2025-08-24T12:45:15.002,ESP32,DHT11,temperature-humidity,humidity,20
160,2025-08-24T12:45:17.918,ESP32,DHT11,temperature-humidity,temperature,21
161,2025-08-24T12:45:17.918,ESP32,DHT11,temperature-humidity,humidity,20
162,2025-08-24T12:45:20.989,ESP32,DHT11,temperature-humidity,humidity,20
163,2025-08-24T12:45:20.989,ESP32,DHT11,temperature-humidity,temperature,21
164,2025-08-24T12:45:23.973,ESP32,DHT11,temperature-humidity,temperature,21
165,2025-08-24T12:45:23.973,ESP32,DHT11,temperature-humidity,humidity,20
166,2025-08-24T12:45:26.465,ESP32,DHT11,temperature-humidity,humidity,20
167,2025-08-24T12:45:26.465,ESP32,DHT11,temperature-humidity,temperature,21
168,2025-08-24T12:45:29.595,ESP32,DHT11,temperature-humidity,temperature,21
169,2025-08-24T12:45:29.595,ESP32,DHT11,temperature-humidity,humidity,20
170,2025-08-24T12:45:32.150,ESP32,DHT11,temperature-humidity,humidity,20
171,2025-08-24T12:45:32.150,ESP32,DHT11,temperature-humidity,temperature,21
172,2025-08-24T12:45:35.434,ESP32,DHT11,temperature-humidity,temperature,21
173,2025-08-24T12:45:35.434,ESP32,DHT11,temperature-humidity,humidity,37
174,2025-08-24T12:45:38.603,ESP32,DHT11,temperature-humidity,humidity,20
175,2025-08-24T12:45:38.603,ESP32,DHT11,temperature-humidity,temperature,21
